; Sample Rate 8000
; Channels 2
         0.02325    0.89290322317   0.89290322317 
        0.023375    0.87832501205   0.87832501205 
          0.0235    0.75989523577   0.75989523577 
        0.023625    0.55161638279   0.55161638279 
         0.02375     0.2781151887    0.2781151887 
        0.023875   -0.02826964017  -0.02826964017 
           0.024   -0.33131201612  -0.33131201612 
        0.024125   -0.59518059576  -0.59518059576 
         0.02425   -0.78867607377  -0.78867607377 
        0.024375    -0.8889194103   -0.8889194103 
          0.0245   -0.88405859191  -0.88405859191 
        0.024625     -0.774667833    -0.774667833 
         0.02475   -0.57368153101  -0.57368153101 
        0.024875    -0.3048641053   -0.3048641053 
           0.025  -1.2014061213e-07 -1.2014061213e-07 
        0.025125    0.30486427248   0.30486427248 
         0.02525    0.57368172472   0.57368172472 
        0.025375     0.7746677557    0.7746677557 
          0.0255    0.88405852066   0.88405852066 
        0.025625    0.88891942194   0.88891942194 
         0.02575    0.78867599834   0.78867599834 
        0.025875    0.59518061252   0.59518061252 
           0.026    0.33131220378   0.33131220378 
        0.026125   0.028269614559  0.028269614559 
         0.02625   -0.27811541175  -0.27811541175 
        0.026375   -0.55161634088  -0.55161634088 
          0.0265   -0.75989506487  -0.75989506487 
        0.026625   -0.87832508702  -0.87832508702 
         0.02675   -0.89290328231  -0.89290328231 
        0.026875   -0.80190579593  -0.80190579593 
           0.027   -0.61609243834  -0.61609243834 
        0.027125   -0.35743313422  -0.35743313422 
         0.02725  -0.056511408184 -0.056511408184 
        0.027375    0.25109205861   0.25109205861 
          0.0275    0.52900664043   0.52900664043 
        0.027625    0.74437252991   0.74437252991 
         0.02775    0.87172488775   0.87172488775 
        0.027875    0.89600570919   0.89600570919 
           0.028    0.81434431579   0.81434431579 
        0.028125    0.63639620645   0.63639620645 
         0.02825    0.38320137933   0.38320137933 
        0.028375   0.084697379265  0.084697379265 
          0.0285   -0.22382082883  -0.22382082883 
        0.028625   -0.50587498862  -0.50587498862 
         0.02875   -0.72811525036  -0.72811525036 
        0.028875   -0.86426433036  -0.86426433036 
           0.029   -0.89822397241  -0.89822397241 
        0.029125   -0.82597926026  -0.82597926026 
         0.02925   -0.65607180353  -0.65607180353 
        0.029375   -0.40859136032  -0.40859136032 
          0.0295   -0.11279991828  -0.11279991828 
        0.029625    0.19632881414   0.19632881414 
         0.02975    0.48224392906   0.48224392906 
        0.029875     0.7111396133    0.7111396133 
            0.03    0.85595078673   0.85595078673 
        0.030125    0.89955593646   0.89955593646 
         0.03025    0.83679868327   0.83679868327 
        0.030375    0.67509991117   0.67509991117 
          0.0305    0.43357824115   0.43357824115 
        0.030625    0.14079114003   0.14079114003 
         0.03075   -0.16864328273  -0.16864328273 
        0.030875   -0.45813738601  -0.45813738601 
           0.031   -0.69346187357  -0.69346187357 
        0.031125   -0.84679266391  -0.84679266391 
         0.03125   -0.89999999804  -0.89999999804 
        0.031375   -0.84679271746  -0.84679271746 
          0.0315   -0.69346182654  -0.69346182654 
        0.031625    -0.4581373469   -0.4581373469 
         0.03175   -0.16864317888  -0.16864317888 
        0.031875    0.14079110883   0.14079110883 
           0.032    0.43357832311   0.43357832311 
        0.032125    0.67509988043   0.67509988043 
         0.03225    0.83679887187   0.83679887187 
        0.032375    0.89955596067   0.89955596067 
          0.0325    0.85595079698   0.85595079698 
        0.032625    0.71113950945   0.71113950945 
         0.03275    0.48224419542   0.48224419542 
        0.032875    0.19632890308   0.19632890308 
           0.033   -0.11279999977  -0.11279999977 
        0.033125   -0.40859136032  -0.40859136032 
         0.03325   -0.65607175464  -0.65607175464 
        0.033375   -0.82597917132  -0.82597917132 
          0.0335   -0.89822405484  -0.89822405484 
        0.033625    -0.8642642484   -0.8642642484 
         0.03375   -0.72811539751  -0.72811539751 
        0.033875   -0.50587509153  -0.50587509153 
           0.034   -0.22382078459  -0.22382078459 
        0.034125   0.084697440267  0.084697440267 
         0.03425    0.38320127735   0.38320127735 
        0.034375    0.63639596803   0.63639596803 
          0.0345    0.81434441591   0.81434441591 
        0.034625    0.89600566775   0.89600566775 
         0.03475    0.87172491383   0.87172491383 
        0.034875    0.74437252665   0.74437252665 
           0.035    0.52900664927   0.52900664927 
        0.035125     0.2510919678    0.2510919678 
         0.03525  -0.056511346716 -0.056511346716 
        0.035375   -0.35743321571  -0.35743321571 
          0.0355   -0.61609251425  -0.61609251425 
        0.035625   -0.80190579826  -0.80190579826 
         0.03575   -0.89290323528  -0.89290323528 
        0.035875   -0.87832504045  -0.87832504045 
           0.036   -0.75989512168  -0.75989512168 
        0.036125   -0.55161624961  -0.55161624961 
         0.03625   -0.27811539965  -0.27811539965 
        0.036375   0.028269724455  0.028269724455 
          0.0365    0.33131220285   0.33131220285 
        0.036625     0.5951806684    0.5951806684 
         0.03675    0.78867595177   0.78867595177 
        0.036875    0.88891953416   0.88891953416 
           0.037    0.88405856257   0.88405856257 
        0.037125    0.77466774732   0.77466774732 
         0.03725    0.57368163159   0.57368163159 
        0.037375    0.30486417515   0.30486417515 
          0.0375  -4.7031790018e-08 -4.7031790018e-08 
        0.037625   -0.30486419564  -0.30486419564 
         0.03775   -0.57368149655  -0.57368149655 
        0.037875   -0.77466784045  -0.77466784045 
           0.038   -0.88405856444  -0.88405856444 
        0.038125   -0.88891945779  -0.88891945779 
         0.03825   -0.78867598576  -0.78867598576 
        0.038375   -0.59518079273  -0.59518079273 
          0.0385   -0.33131211624  -0.33131211624 
        0.038625  -0.028269580565 -0.028269580565 
         0.03875     0.2781152362    0.2781152362 
        0.038875    0.55161629943   0.55161629943 
           0.039    0.75989507139   0.75989507139 
        0.039125    0.87832513498   0.87832513498 
         0.03925    0.89290315099   0.89290315099 
        0.039375    0.80190595984   0.80190595984 
          0.0395    0.61609243508   0.61609243508 
        0.039625    0.35743299965   0.35743299965 
         0.03975   0.056511470582  0.056511470582 
        0.039875   -0.25109189143  -0.25109189143 
            0.04    -0.5290065459   -0.5290065459 
        0.040125   -0.74437261373  -0.74437261373 
         0.04025    -0.8717247583   -0.8717247583 
        0.040375   -0.89600580093  -0.89600580093 
          0.0405   -0.81434423197  -0.81434423197 
        0.040625   -0.63639605884  -0.63639605884 
         0.04075   -0.38320130901  -0.38320130901 
        0.040875  -0.084697597194 -0.084697597194 
           0.041    0.22382096993   0.22382096993 
        0.041125    0.50587516138   0.50587516138 
         0.04125     0.7281152606    0.7281152606 
        0.041375    0.86426426517   0.86426426517 
          0.0415    0.89822405064   0.89822405064 
        0.041625    0.82597918063   0.82597918063 
         0.04175    0.65607167734   0.65607167734 
        0.041875    0.40859151958   0.40859151958 
           0.042    0.11279992713   0.11279992713 
        0.042125   -0.19632899854  -0.19632899854 
         0.04225   -0.48224414233  -0.48224414233 
        0.042375    -0.7111394126   -0.7111394126 
          0.0425   -0.85595090315  -0.85595090315 
        0.042625   -0.89955595182  -0.89955595182 
         0.04275   -0.83679876383  -0.83679876383 
        0.042875   -0.67509996053  -0.67509996053 
           0.043   -0.43357839761  -0.43357839761 
        0.043125   -0.14079101942  -0.14079101942 
         0.04325    0.16864327528   0.16864327528 
        0.043375    0.45813719602   0.45813719602 
          0.0435    0.69346191268   0.69346191268 
        0.043625    0.84679267369   0.84679267369 
         0.04375    0.89999998827   0.89999998827 
        0.043875    0.84679262852   0.84679262852 
           0.044    0.69346202491   0.69346202491 
        0.044125    0.45813733619   0.45813733619 
         0.04425    0.16864306713   0.16864306713 
        0.044375   -0.14079097938  -0.14079097938 
          0.0445   -0.43357822113  -0.43357822113 
        0.044625   -0.67509979196  -0.67509979196 
         0.04475   -0.83679891285  -0.83679891285 
        0.044875    -0.8995558233   -0.8995558233 
           0.045   -0.85595092736  -0.85595092736 
        0.045125   -0.71113931853  -0.71113931853 
         0.04525   -0.48224403709  -0.48224403709 
        0.045375   -0.19632888678  -0.19632888678 
          0.0455    0.11279979907   0.11279979907 
        0.045625    0.40859152284   0.40859152284 
         0.04575    0.65607187292   0.65607187292 
        0.045875    0.82597909914   0.82597909914 
           0.046    0.89822404319   0.89822404319 
        0.046125    0.86426428612   0.86426428612 
         0.04625    0.72811528482   0.72811528482 
        0.046375    0.50587495277   0.50587495277 
          0.0465    0.22382099507   0.22382099507 
        0.046625  -0.084697499406 -0.084697499406 
         0.04675   -0.38320146501  -0.38320146501 
        0.046875    -0.6363961054   -0.6363961054 
           0.047   -0.81434427248  -0.81434427248 
        0.047125   -0.89600578928  -0.89600578928 
         0.04725   -0.87172488961  -0.87172488961 
        0.047375   -0.74437243585  -0.74437243585 
          0.0475   -0.52900677687  -0.52900677687 
        0.047625    -0.2510920628   -0.2510920628 
         0.04775   0.056511503644  0.056511503644 
        0.047875    0.35743316775   0.35743316775 
           0.048    0.61609231168   0.61609231168 
        0.048125    0.80190589745   0.80190589745 
         0.04825    0.89290324319   0.89290324319 
        0.048375    0.87832505722   0.87832505722 
          0.0485    0.75989510631   0.75989510631 
        0.048625     0.5516164545    0.5516164545 
         0.04875    0.27811534237   0.27811534237 
        0.048875  -0.028269797564 -0.028269797564 
           0.049   -0.33131203195  -0.33131203195 
        0.049125   -0.59518064372  -0.59518064372 
         0.04925    -0.7886759094   -0.7886759094 
        0.049375   -0.88891954347  -0.88891954347 
          0.0495   -0.88405842986  -0.88405842986 
        0.049625   -0.77466790704  -0.77466790704 
         0.04975   -0.57368166419  -0.57368166419 
        0.049875   -0.30486402381  -0.30486402381 
            0.05                0               0 
        0.050125    0.30486402381   0.30486402381 
         0.05025    0.57368166419   0.57368166419 
        0.050375    0.77466790704   0.77466790704 
          0.0505    0.88405842986   0.88405842986 
        0.050625    0.88891954347   0.88891954347 
         0.05075     0.7886759094    0.7886759094 
        0.050875    0.59518064372   0.59518064372 
           0.051    0.33131203195   0.33131203195 
        0.051125   0.028269797564  0.028269797564 
         0.05125   -0.27811534237  -0.27811534237 
        0.051375    -0.5516164545   -0.5516164545 
          0.0515   -0.75989510631  -0.75989510631 
        0.051625   -0.87832505722  -0.87832505722 
         0.05175   -0.89290324319  -0.89290324319 
        0.051875   -0.80190589745  -0.80190589745 
           0.052   -0.61609231168  -0.61609231168 
        0.052125   -0.35743316775  -0.35743316775 
         0.05225  -0.056511503644 -0.056511503644 
        0.052375     0.2510920628    0.2510920628 
          0.0525    0.52900677687   0.52900677687 
        0.052625    0.74437243585   0.74437243585 
         0.05275    0.87172488961   0.87172488961 
        0.052875    0.89600578928   0.89600578928 
           0.053    0.81434427248   0.81434427248 
        0.053125     0.6363961054    0.6363961054 
